"","x"
"716","ENSG00000165689"
"717","ENSG00000139718"
"718","ENSG00000100316"
"719","ENSG00000140403"
"720","ENSG00000068724"
"721","ENSG00000214753"
"722","ENSG00000113205"
"723","ENSG00000133687"
"724","ENSG00000051128"
"725","ENSG00000177106"
"726","ENSG00000130816"
"727","ENSG00000168496"
"728","ENSG00000117592"
"729","ENSG00000132481"
"730","ENSG00000126461"
"731","ENSG00000173706"
"732","ENSG00000100994"
"733","ENSG00000101361"
"734","ENSG00000189091"
"735","ENSG00000111328"
"736","ENSG00000087266"
"737","ENSG00000108591"
"738","ENSG00000206527"
"739","ENSG00000161011"
"740","ENSG00000110400"
"741","ENSG00000140983"
"742","ENSG00000277203"
"743","ENSG00000126749"
"744","ENSG00000196562"
"745","ENSG00000130669"
"746","ENSG00000119401"
"747","ENSG00000106211"
"748","ENSG00000130508"
"749","ENSG00000229939"
"750","ENSG00000132383"
"751","ENSG00000130826"
"752","ENSG00000130255"
"753","ENSG00000250644"
"754","ENSG00000115657"
"755","ENSG00000100889"
"756","ENSG00000144476"
"757","ENSG00000128050"
"758","ENSG00000070614"
"759","ENSG00000173621"
"760","ENSG00000103121"
"761","ENSG00000181938"
"762","ENSG00000187778"
"763","ENSG00000117394"
"764","ENSG00000167114"
"765","ENSG00000108654"
"766","ENSG00000160410"
"767","ENSG00000166987"
"768","ENSG00000169217"
"769","ENSG00000012171"
"770","ENSG00000204673"
"771","ENSG00000198931"
"772","ENSG00000120265"
"773","ENSG00000196363"
"774","ENSG00000203485"
"775","ENSG00000131899"
"776","ENSG00000085644"
"777","ENSG00000105185"
"778","ENSG00000256968"
"779","ENSG00000133398"
"780","ENSG00000172216"
"781","ENSG00000030066"
"782","ENSG00000131368"
"783","ENSG00000128524"
"784","ENSG00000130021"
"785","ENSG00000172531"
"786","ENSG00000121057"
"787","ENSG00000100413"
"788","ENSG00000149136"
"789","ENSG00000276230"
"790","ENSG00000105711"
"791","ENSG00000010165"
"792","ENSG00000143294"
"793","ENSG00000167700"
"794","ENSG00000198899"
"795","ENSG00000174996"
"796","ENSG00000114867"
"797","ENSG00000076067"
"798","ENSG00000146535"
"799","ENSG00000101367"
"800","ENSG00000151640"
"801","ENSG00000132361"
"802","ENSG00000090861"
"803","ENSG00000166123"
"804","ENSG00000167526"
"805","ENSG00000184220"
"806","ENSG00000169093"
"807","ENSG00000054690"
"808","ENSG00000084731"
"809","ENSG00000136937"
"810","ENSG00000065911"
"811","ENSG00000139644"
"812","ENSG00000090372"
"813","ENSG00000136944"
"814","ENSG00000213619"
"815","ENSG00000090273"
"816","ENSG00000116288"
"817","ENSG00000274081"
"818","ENSG00000105701"
"819","ENSG00000143252"
"820","ENSG00000145919"
"821","ENSG00000111737"
"822","ENSG00000196510"
"823","ENSG00000131653"
