"","x"
"734","ENST00000620405"
"735","ENST00000254301"
"736","ENST00000428468"
"737","ENST00000274487"
"738","ENST00000393054"
"739","ENST00000330501"
"740","ENST00000469075"
"741","ENST00000403263"
"742","ENST00000361150"
"743","ENST00000379446"
"744","ENST00000276440"
"745","ENST00000299045"
"746","ENST00000622093"
"747","ENST00000238856"
"748","ENST00000243344"
"749","ENST00000539819"
"750","ENST00000265843"
"751","ENST00000474629"
"752","ENST00000354309"
"753","ENST00000305626"
"754","ENST00000292782"
"755","ENST00000382099"
"756","ENST00000399339"
"757","ENST00000443124"
"758","ENST00000361138"
"759","ENST00000399982"
"760","ENST00000367021"
"761","ENST00000373218"
"762","ENST00000323981"
"763","ENST00000628146"
"764","ENST00000275493"
"765","ENST00000315367"
"766","ENST00000263918"
"767","ENST00000447402"
"768","ENST00000541618"
"769","ENST00000302278"
"770","ENST00000265742"
"771","ENST00000371208"
"772","ENST00000558084"
"773","ENST00000359314"
"774","ENST00000449802"
"775","ENST00000294353"
"776","ENST00000469941"
"777","ENST00000315436"
"778","ENST00000422769"
"779","ENST00000370801"
"780","ENST00000266037"
"781","ENST00000370272"
"782","ENST00000454214"
"783","ENST00000540572"
"784","ENST00000359798"
"785","ENST00000559220"
"786","ENST00000613854"
"787","ENST00000205636"
"788","ENST00000330236"
"789","ENST00000295797"
"790","ENST00000380409"
"791","ENST00000616200"
"792","ENST00000286544"
"793","ENST00000443035"
"794","ENST00000396161"
"795","ENST00000355193"
"796","ENST00000372731"
"797","ENST00000360647"
"798","ENST00000394555"
"799","ENST00000342988"
"800","ENST00000498076"
"801","ENST00000246868"
"802","ENST00000366956"
"803","ENST00000296658"
"804","ENST00000222399"
"805","ENST00000260408"
"806","ENST00000617569"
"807","ENST00000306085"
"808","ENST00000322716"
"809","ENST00000393164"
"810","ENST00000610620"
"811","ENST00000370521"
"812","ENST00000395571"
"813","ENST00000414277"
"814","ENST00000299204"
"815","ENST00000343882"
"816","ENST00000368706"
"817","ENST00000600794"
"818","ENST00000417564"
"819","ENST00000605042"
"820","ENST00000556678"
"821","ENST00000296137"
"822","ENST00000310473"
"823","ENST00000530275"
"824","ENST00000314011"
"825","ENST00000375011"
"826","ENST00000485735"
"827","ENST00000328827"
"828","ENST00000488500"
"829","ENST00000358455"
"830","ENST00000625801"
"831","ENST00000283684"
"832","ENST00000375060"
"833","ENST00000545588"
"834","ENST00000367090"
"835","ENST00000447929"
"836","ENST00000360184"
"837","ENST00000465259"
"838","ENST00000305544"
"839","ENST00000487806"
"840","ENST00000312521"
"841","ENST00000461152"
"842","ENST00000490135"
"843","ENST00000399061"
"844","ENST00000415568"
"845","ENST00000521288"
"846","ENST00000440019"
"847","ENST00000435495"
"848","ENST00000544594"
"849","ENST00000539319"
"850","ENST00000508628"
"851","ENST00000525954"
"852","ENST00000248248"
"853","ENST00000481115"
"854","ENST00000426744"
"855","ENST00000480550"
"856","ENST00000530109"
"857","ENST00000544642"
"858","ENST00000368221"
"859","ENST00000372396"
"860","ENST00000311380"
"861","ENST00000337354"
"862","ENST00000377803"
"863","ENST00000505555"
"864","ENST00000428288"
"865","ENST00000366955"
"866","ENST00000275034"
"867","ENST00000373191"
"868","ENST00000217958"
"869","ENST00000445288"
"870","ENST00000490248"
"871","ENST00000558653"
"872","ENST00000347055"
"873","ENST00000581468"
"874","ENST00000336128"
"875","ENST00000083182"
"876","ENST00000339450"
"877","ENST00000305631"
"878","ENST00000268989"
"879","ENST00000258457"
"880","ENST00000315596"
"881","ENST00000356554"
"882","ENST00000510628"
"883","ENST00000418939"
"884","ENST00000312026"
"885","ENST00000306749"
"886","ENST00000403050"
"887","ENST00000394718"
"888","ENST00000234668"
"889","ENST00000469141"
"890","ENST00000392177"
"891","ENST00000362079"
"892","ENST00000358598"
"893","ENST00000366815"
"894","ENST00000631006"
"895","ENST00000232519"
"896","ENST00000367123"
"897","ENST00000244221"
"898","ENST00000379010"
"899","ENST00000345146"
"900","ENST00000332160"
