"","x"
"713","ENSG00000072364"
"714","ENSG00000133983"
"715","ENSG00000153130"
"716","ENSG00000198342"
"717","ENSG00000166405"
"718","ENSG00000163960"
"719","ENSG00000033800"
"720","ENSG00000133256"
"721","ENSG00000137203"
"722","ENSG00000158691"
"723","ENSG00000083535"
"724","ENSG00000152558"
"725","ENSG00000170396"
"726","ENSG00000065361"
"727","ENSG00000277868"
"728","ENSG00000151150"
"729","ENSG00000113441"
"730","ENSG00000153317"
"731","ENSG00000129636"
"732","ENSG00000166439"
"733","ENSG00000156531"
"734","ENSG00000112414"
"735","ENSG00000165171"
"736","ENSG00000124788"
"737","ENSG00000153936"
"738","ENSG00000091317"
"739","ENSG00000111885"
"740","ENSG00000182150"
"741","ENSG00000196504"
"742","ENSG00000053254"
"743","ENSG00000147676"
"744","ENSG00000108239"
"745","ENSG00000146463"
"746","ENSG00000197312"
"747","ENSG00000274523"
"748","ENSG00000135913"
"749","ENSG00000197323"
"750","ENSG00000163904"
"751","ENSG00000183828"
"752","ENSG00000073605"
"753","ENSG00000163435"
"754","ENSG00000138760"
"755","ENSG00000164323"
"756","ENSG00000176542"
"757","ENSG00000137880"
"758","ENSG00000125945"
"759","ENSG00000162368"
"760","ENSG00000164300"
"761","ENSG00000113448"
"762","ENSG00000124145"
"763","ENSG00000185737"
"764","ENSG00000174718"
"765","ENSG00000115808"
"766","ENSG00000085741"
"767","ENSG00000197782"
"768","ENSG00000140264"
"769","ENSG00000189143"
"770","ENSG00000187672"
"771","ENSG00000186153"
"772","ENSG00000143797"
"773","ENSG00000185088"
"774","ENSG00000138942"
"775","ENSG00000118482"
"776","ENSG00000104687"
"777","ENSG00000140367"
"778","ENSG00000112851"
"779","ENSG00000233822"
"780","ENSG00000126804"
"781","ENSG00000186088"
"782","ENSG00000122644"
"783","ENSG00000230685"
"784","ENSG00000173930"
"785","ENSG00000278677"
"786","ENSG00000272886"
"787","ENSG00000084733"
"788","ENSG00000146587"
"789","ENSG00000136040"
"790","ENSG00000179981"
"791","ENSG00000197857"
"792","ENSG00000172465"
"793","ENSG00000145337"
"794","ENSG00000122378"
"795","ENSG00000186951"
"796","ENSG00000144455"
"797","ENSG00000058272"
"798","ENSG00000146247"
"799","ENSG00000114023"
"800","ENSG00000179627"
"801","ENSG00000116095"
"802","ENSG00000112282"
"803","ENSG00000013441"
"804","ENSG00000104611"
"805","ENSG00000275221"
"806","ENSG00000204217"
"807","ENSG00000140263"
"808","ENSG00000170004"
"809","ENSG00000227038"
"810","ENSG00000136111"
"811","ENSG00000278272"
"812","ENSG00000167110"
"813","ENSG00000092148"
"814","ENSG00000127022"
"815","ENSG00000145375"
"816","ENSG00000115183"
"817","ENSG00000105929"
"818","ENSG00000153560"
"819","ENSG00000112773"
"820","ENSG00000264343"
"821","ENSG00000111144"
"822","ENSG00000178162"
"823","ENSG00000278463"
"824","ENSG00000134086"
"825","ENSG00000148498"
"826","ENSG00000198482"
"827","ENSG00000107262"
"828","ENSG00000204611"
"829","ENSG00000165030"
"830","ENSG00000225830"
"831","ENSG00000177954"
"832","ENSG00000196890"
"833","ENSG00000181894"
"834","ENSG00000182831"
"835","ENSG00000100796"
"836","ENSG00000139926"
"837","ENSG00000121691"
"838","ENSG00000198835"
"839","ENSG00000234078"
"840","ENSG00000138336"
"841","ENSG00000082258"
"842","ENSG00000177694"
"843","ENSG00000155906"
"844","ENSG00000143753"
"845","ENSG00000100614"
"846","ENSG00000089335"
"847","ENSG00000213186"
"848","ENSG00000164649"
"849","ENSG00000100393"
"850","ENSG00000083520"
"851","ENSG00000214655"
"852","ENSG00000141738"
"853","ENSG00000162601"
"854","ENSG00000223951"
"855","ENSG00000154358"
"856","ENSG00000275379"
"857","ENSG00000162407"
"858","ENSG00000136813"
"859","ENSG00000144426"
"860","ENSG00000188211"
"861","ENSG00000076258"
"862","ENSG00000119139"
"863","ENSG00000130396"
"864","ENSG00000179152"
"865","ENSG00000152104"
"866","ENSG00000178988"
"867","ENSG00000104081"
"868","ENSG00000175582"
"869","ENSG00000061987"
"870","ENSG00000174501"
"871","ENSG00000168575"
"872","ENSG00000077380"
"873","ENSG00000149346"
"874","ENSG00000001631"
"875","ENSG00000164329"
"876","ENSG00000124374"
"877","ENSG00000082898"
"878","ENSG00000122565"
"879","ENSG00000065883"
"880","ENSG00000101384"
"881","ENSG00000131263"
"882","ENSG00000149311"
"883","ENSG00000161243"
"884","ENSG00000218336"
"885","ENSG00000122584"
"886","ENSG00000047634"
"887","ENSG00000278087"
"888","ENSG00000264522"
"889","ENSG00000153246"
"890","ENSG00000117595"
"891","ENSG00000170921"
"892","ENSG00000051108"
"893","ENSG00000231500"
"894","ENSG00000105856"
"895","ENSG00000126822"
"896","ENSG00000156642"
"897","ENSG00000151338"
"898","ENSG00000171105"
"899","ENSG00000162999"
"900","ENSG00000164944"
"901","ENSG00000172239"
"902","ENSG00000162645"
"903","ENSG00000156113"
"904","ENSG00000049323"
"905","ENSG00000157741"
"906","ENSG00000163625"
"907","ENSG00000183648"
"908","ENSG00000280830"
"909","ENSG00000137177"
"910","ENSG00000109929"
"911","ENSG00000119711"
"912","ENSG00000196227"
"913","ENSG00000118733"
"914","ENSG00000160703"
"915","ENSG00000132466"
"916","ENSG00000187240"
"917","ENSG00000165730"
"918","ENSG00000145391"
"919","ENSG00000084710"
"920","ENSG00000237289"
"921","ENSG00000244398"
"922","ENSG00000198668"
"923","ENSG00000120860"
"924","ENSG00000130779"
"925","ENSG00000005700"
"926","ENSG00000163820"
"927","ENSG00000111670"
"928","ENSG00000147669"
"929","ENSG00000009307"
"930","ENSG00000166263"
"931","ENSG00000176209"
"932","ENSG00000117151"
"933","ENSG00000148730"
"934","ENSG00000179387"
"935","ENSG00000146433"
"936","ENSG00000075539"
"937","ENSG00000025800"
"938","ENSG00000138078"
"939","ENSG00000174021"
"940","ENSG00000198039"
"941","ENSG00000126524"
"942","ENSG00000165516"
"943","ENSG00000100578"
"944","ENSG00000223572"
"945","ENSG00000112893"
"946","ENSG00000167202"
"947","ENSG00000172071"
"948","ENSG00000184661"
"949","ENSG00000139697"
"950","ENSG00000253910"
"951","ENSG00000135069"
"952","ENSG00000214530"
"953","ENSG00000100503"
"954","ENSG00000054965"
"955","ENSG00000269343"
"956","ENSG00000178567"
"957","ENSG00000112992"
"958","ENSG00000267740"
"959","ENSG00000083168"
"960","ENSG00000143061"
"961","ENSG00000166471"
"962","ENSG00000072415"
"963","ENSG00000188811"
"964","ENSG00000084676"
"965","ENSG00000166704"
"966","ENSG00000159579"
"967","ENSG00000261992"
"968","ENSG00000138413"
"969","ENSG00000117724"
"970","ENSG00000109323"
"971","ENSG00000163728"
"972","ENSG00000187091"
"973","ENSG00000138658"
"974","ENSG00000100354"
"975","ENSG00000039319"
"976","ENSG00000151276"
"977","ENSG00000119681"
"978","ENSG00000142197"
"979","ENSG00000100207"
"980","ENSG00000196268"
"981","ENSG00000275052"
"982","ENSG00000143952"
"983","ENSG00000053770"
"984","ENSG00000224040"
"985","ENSG00000115648"
"986","ENSG00000185104"
"987","ENSG00000134138"
"988","ENSG00000163083"
"989","ENSG00000120549"
"990","ENSG00000113810"
"991","ENSG00000239779"
"992","ENSG00000229006"
"993","ENSG00000241258"
"994","ENSG00000165669"
"995","ENSG00000198189"
"996","ENSG00000277221"
"997","ENSG00000162636"
"998","ENSG00000135164"
"999","ENSG00000151366"
"1000","ENSG00000071794"
"1001","ENSG00000104419"
"1002","ENSG00000116539"
"1003","ENSG00000149582"
"1004","ENSG00000103769"
"1005","ENSG00000127993"
"1006","ENSG00000171988"
"1007","ENSG00000156030"
"1008","ENSG00000163041"
"1009","ENSG00000197050"
"1010","ENSG00000136754"
"1011","ENSG00000157502"
"1012","ENSG00000146414"
"1013","ENSG00000238150"
"1014","ENSG00000184845"
"1015","ENSG00000151882"
"1016","ENSG00000137364"
"1017","ENSG00000143390"
"1018","ENSG00000140323"
"1019","ENSG00000005020"
"1020","ENSG00000230189"
"1021","ENSG00000100403"
"1022","ENSG00000114439"
"1023","ENSG00000043093"
"1024","ENSG00000138660"
"1025","ENSG00000085365"
"1026","ENSG00000104164"
"1027","ENSG00000116406"
"1028","ENSG00000184154"
"1029","ENSG00000109475"
"1030","ENSG00000168672"
"1031","ENSG00000166503"
"1032","ENSG00000106524"
"1033","ENSG00000130544"
"1034","ENSG00000170385"
"1035","ENSG00000150712"
"1036","ENSG00000008086"
"1037","ENSG00000172869"
"1038","ENSG00000125107"
"1039","ENSG00000213762"
"1040","ENSG00000146376"
"1041","ENSG00000172007"
"1042","ENSG00000005889"
"1043","ENSG00000163527"
"1044","ENSG00000164830"
"1045","ENSG00000136144"
"1046","ENSG00000158711"
"1047","ENSG00000156050"
"1048","ENSG00000196267"
"1049","ENSG00000123094"
"1050","ENSG00000151148"
"1051","ENSG00000050393"
"1052","ENSG00000130653"
"1053","ENSG00000128000"
"1054","ENSG00000082213"
"1055","ENSG00000266179"
"1056","ENSG00000151694"
"1057","ENSG00000162613"
"1058","ENSG00000111110"
"1059","ENSG00000027075"
"1060","ENSG00000196911"
"1061","ENSG00000273673"
"1062","ENSG00000166669"
"1063","ENSG00000133422"
